date,CF,FG,MA,OI,RM,SR,TA,ZC
20150922,1.0321926112,1.0152811731,0.961714304088,1.06422246393,1.39369287001,1.3226436089,1.09412655638,1.0
20150923,1.03323121989,1.01545717132,0.956558660586,1.06422246393,1.39794417266,1.31029202191,1.10185135319,1.0
20150924,1.03323121989,1.01678901677,0.9575032603,1.06265752979,1.40474430645,1.30655711465,1.09460828167,1.0
20150925,1.03839442495,1.01486554304,0.953839888642,1.06025938697,1.41501954838,1.30548916584,1.08367187301,1.0
20150928,1.04514644241,1.01486554304,0.952545830539,1.06025938697,1.42544511778,1.30324282143,1.08284258076,1.0
20150929,1.04514644241,1.01278097811,0.930468364655,1.05947429393,1.41183507269,1.31608908094,1.0848400818,1.0
20150930,1.04616945257,1.01089160462,0.92951781835,1.05934015317,1.41615758934,1.33379254879,1.08751512397,1.0
20151008,1.05089198872,0.996526350247,0.926653233392,1.0627428181,1.41351123474,1.3459018127,1.08292269841,1.0
20151009,1.04785816315,0.994826931723,0.941757365052,1.06578492019,1.40009228517,1.3490251743,1.10049556651,1.0
20151012,1.04785495584,0.994532840681,0.938556039953,1.06748841728,1.38781467303,1.36018941827,1.09932743243,1.0
20151013,1.04569246354,0.991613802068,0.938255482779,1.06785484819,1.39003640711,1.35918917594,1.08771640127,1.0
20151014,1.04536854092,0.990367816422,0.937124750632,1.06785484819,1.39164865534,1.35839783402,1.08656222287,1.0
20151015,1.05085479063,0.991272587829,0.93634961309,1.07022171638,1.39122795185,1.35549758558,1.08524044875,1.0
20151016,1.05085479063,0.990289766143,0.940325927905,1.06799324499,1.38678467715,1.37236998121,1.08506152483,1.0
20151019,1.05220205938,0.9889939622,0.94135579772,1.06855089188,1.37913303282,1.36392467615,1.09090535697,1.0
20151020,1.05220205938,0.987255499695,0.93965460489,1.06644741391,1.39049340569,1.36105379518,1.09283021164,1.0
20151021,1.05139759289,0.996039352252,0.940755285383,1.06629497603,1.38913724436,1.35103267973,1.09792493652,1.0
20151022,1.0428039494,0.995732428763,0.944810553887,1.07414772995,1.39586206219,1.34713059991,1.11349938159,1.0
20151023,1.04041853125,0.994846808232,0.95920755842,1.07414772995,1.40631774291,1.3462882769,1.11030270201,1.0
20151026,1.03978770856,0.994490899754,0.959540813824,1.07423018962,1.40260160744,1.34719660629,1.1158138559,1.0
20151027,1.03777805783,0.998968757129,0.954714385688,1.0752645843,1.40538624241,1.34587460991,1.13190246007,1.0
20151028,1.0371672682,0.998086245957,0.952685489897,1.0752645843,1.40270250979,1.34300706944,1.13825150469,1.00021511
20151029,1.03509680465,0.995304991588,0.955841287247,1.07419169688,1.40377374015,1.34995532449,1.12928642886,1.00021511
20151030,1.03729017508,0.99839575715,0.956201385248,1.07621310815,1.41240714152,1.3454211445,1.13002894953,1.00021511
20151102,1.03706003962,0.998714154089,0.971676990572,1.07621310815,1.40578237885,1.34823543079,1.14084684952,1.00021511
20151103,1.04218477848,1.00187173299,0.976001087446,1.07621310815,1.41199367041,1.34830869917,1.14966689809,1.00021511
20151104,1.0425704531,0.997422112004,0.984557264136,1.07616628153,1.41691316293,1.36008975122,1.1507032448,0.999134251786
20151105,1.04690522941,1.00707663321,0.99806980152,1.07391010657,1.41330932093,1.3721464607,1.15033334459,0.999134251786
20151106,1.04690522941,1.0046688085,0.992476537501,1.07347660934,1.41900568372,1.3615939743,1.14125096224,0.999134251786
20151109,1.05064001422,0.999926864426,0.987339243513,1.07373652182,1.41686940037,1.35412178028,1.143683375,0.999134251786
20151110,1.05116309195,0.995696601917,0.985261236066,1.07373652182,1.42960437278,1.35573757279,1.14483759551,0.999134251786
20151111,1.04983589571,0.996501954185,0.998496151464,1.07140984726,1.42769540921,1.3516943353,1.13773149114,1.00211726701
20151112,1.04983589571,0.990001523327,1.00245959424,1.06721438568,1.42423197771,1.35603774698,1.13556291263,1.00211726701
20151113,1.05270577487,0.989020420246,0.989564686029,1.0661686943,1.42682143343,1.3560817575,1.13572064916,1.00572916503
20151116,1.05140814211,0.989940841994,0.993284402646,1.0661779165,1.44138980028,1.33862726008,1.15502426138,1.0055449125
20151117,1.04503590733,0.980756461854,0.99598516545,1.06449745918,1.44078576798,1.33898478237,1.15270560505,1.0055449125
20151118,1.04479149236,0.979104041929,1.02556340177,1.06449745918,1.4208700955,1.35414464048,1.15014146167,1.00611184113
20151119,1.04368212323,0.969703390127,1.02154590217,1.06395650091,1.39916854091,1.35044081122,1.14635753226,1.01074837337
