date,a,i,j,jm,m,p,y,CF,FG,MA,OI,RM,SR,TA,ZC,ag,al,au,cu,hc,pb,rb,ru
20150416,1.000077514,1.066905839,0.986368445,0.978032034,0.939979588,0.962959236,0.925775698,0.977214343,1,1.04204714,1,1.045394767,1.050739522,1.065800614,1,1.009854421,0.966258023,0.984517623,1.127869943,1.006771018,1.023272713,1.041291486,0.952200188
20150417,1.007826797,1.063101856,0.986150931,0.976353468,0.939930472,0.962488088,0.925086249,0.980249464,1,1.047984656,1,1.043581837,1.051504788,1.051608162,1,1.018981963,0.966182779,0.982276906,1.123308785,1.006661277,1.022258159,1.040842075,0.945392381
20150420,0.996187193,1.072439591,0.998668753,0.993571479,0.932357581,0.966392482,0.926343093,0.977882543,1,1.039158068,1,1.03586191,1.048486531,1.041165257,1,1.018308247,0.964328641,0.984897104,1.129389732,1.001809404,1.022130986,1.044442753,0.93993698
20150421,1.000567823,1.079196179,0.998061137,0.991450286,0.928821245,0.969727623,0.926296245,0.978074466,1,1.038234211,1,1.028229619,1.047398897,1.065083661,1,1.017539338,0.963061395,0.982721327,1.132284063,1.001986878,1.020315188,1.045105086,0.974620494
20150422,1.008517972,1.085553965,0.998249249,0.996393273,0.927450087,0.974137731,0.929205036,0.977633606,1,1.025831426,1,1.034829825,1.062966148,1.069702002,1,1.019196985,0.96641551,0.982906281,1.126974388,1.00195898,1.019261171,1.061269495,0.973718732
20150423,1.012006713,1.095488896,0.999357754,0.996174191,0.929667513,0.968865922,0.930491943,0.990914187,1,1.017563023,1,1.036839844,1.084847443,1.064318631,1,1.018864082,0.966961134,0.975812688,1.131670078,0.999271997,1.028919931,1.062798763,0.96919257
20150424,1.011764679,1.122047739,1.008850614,0.992403286,0.929288065,0.965882772,0.935203793,0.995587389,1,1.001994135,1,1.048439401,1.081860999,1.073515844,1,1.020326704,0.966050106,0.977125251,1.129113182,1.008404035,1.032854179,1.072930825,0.964142783
20150427,1.011307784,1.116182258,0.998624268,0.992574033,0.925003711,0.964357259,0.932308098,0.992574037,1,1.003520371,1,1.054879783,1.081862217,1.086376415,1,1.01961347,0.967128063,0.969551134,1.122791448,1.008620743,1.03543032,1.067690981,0.982283576
20150428,1.007292158,1.134379809,1.009004506,0.99771037,0.926512171,0.961675653,0.931346411,0.996120845,1,1.021452868,1,1.052087193,1.081793066,1.097366632,1,1.003639703,0.965925803,0.971409951,1.121047999,1.013032009,1.035382656,1.071041039,0.990978958
20150429,1.006674891,1.124851232,1.021264033,1.007290992,0.933820136,0.955947996,0.931523075,0.997822422,1,1.022910155,1,1.058706754,1.080617449,1.099979242,1,1.005705416,0.970448866,0.968984715,1.118200189,1.0117195,1.034636968,1.084652805,0.969804674
20150430,1.002862385,1.135867065,1.022878435,1.007435867,0.941106643,0.955892086,0.938451327,0.995777078,1,1.025492333,1,1.063896228,1.084018198,1.105718012,1,1.00738536,0.968307989,0.968660429,1.128197342,1.015076099,1.033850859,1.089163642,0.971951854
20150504,1.002230128,1.128712894,1.023023584,0.997956509,0.939287563,0.96294886,0.946817171,1.003888188,1,1.027431998,1,1.066703174,1.086793807,1.106622911,1,1.015553657,0.967724101,0.970253612,1.125361799,1.013557501,1.033738144,1.09263035,0.949825708
